Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 128
Generation 1: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 256
Generation 2: Best Solution = [-0.0181727  -0.09251242], Best Fitness = 1.716361146515208, Evaluations = 384
Generation 3: Best Solution = [-0.02832911  1.01688024], Best Fitness = 1.2490375325836922, Evaluations = 512
Generation 4: Best Solution = [-0.02832911  1.01688024], Best Fitness = 1.2490375325836922, Evaluations = 640
Generation 5: Best Solution = [-0.02832911  1.01688024], Best Fitness = 1.2490375325836922, Evaluations = 768
Generation 6: Best Solution = [-0.02832911  1.01688024], Best Fitness = 1.2490375325836922, Evaluations = 896
Generation 7: Best Solution = [-0.02832911  1.01688024], Best Fitness = 1.2490375325836922, Evaluations = 1024
Generation 8: Best Solution = [-0.02832911  1.01688024], Best Fitness = 1.2490375325836922, Evaluations = 1152
Generation 9: Best Solution = [ 0.02522185 -0.99651747], Best Fitness = 1.1213838180922693, Evaluations = 1280
Generation 10: Best Solution = [ 0.02522185 -0.99651747], Best Fitness = 1.1213838180922693, Evaluations = 1408
Generation 11: Best Solution = [ 0.02522185 -0.99651747], Best Fitness = 1.1213838180922693, Evaluations = 1536
Generation 12: Best Solution = [ 0.02522185 -0.99651747], Best Fitness = 1.1213838180922693, Evaluations = 1664
Generation 13: Best Solution = [-0.0181727  -1.00247956], Best Fitness = 1.07162647443009, Evaluations = 1792
Generation 14: Best Solution = [ 0.01665313 -0.06843363], Best Fitness = 0.9699167755487679, Evaluations = 1920
Generation 15: Best Solution = [ 0.0226881  -0.05108657], Best Fitness = 0.6153134294749805, Evaluations = 2048
