Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [ 1.78917969 -0.94937905], Best Fitness = 12.167104441071416, Evaluations = 16
Generation 1: Best Solution = [ 1.78917969 -0.94937905], Best Fitness = 12.167104441071416, Evaluations = 32
Generation 2: Best Solution = [ 1.78917969 -0.94937905], Best Fitness = 12.167104441071416, Evaluations = 48
Generation 3: Best Solution = [ 0.09383814 -1.95558454], Best Fitness = 5.908379544522447, Evaluations = 64
Generation 4: Best Solution = [ 0.09383814 -1.95558454], Best Fitness = 5.908379544522447, Evaluations = 80
Generation 5: Best Solution = [ 0.09383814 -1.95558454], Best Fitness = 5.908379544522447, Evaluations = 96
Generation 6: Best Solution = [ 0.09383814 -1.95558454], Best Fitness = 4.1054368285878144, Evaluations = 112
Generation 7: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 128
Generation 8: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 144
Generation 9: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 160
Generation 10: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 176
Generation 11: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 192
Generation 12: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 208
Generation 13: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 224
Generation 14: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 240
Generation 15: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 256
Generation 16: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 272
Generation 17: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 288
Generation 18: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 304
Generation 19: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 320
Generation 20: Best Solution = [-0.97216003 -0.06196454], Best Fitness = 1.849918490180464, Evaluations = 336
Generation 21: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 352
Generation 22: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 368
Generation 23: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 384
Generation 24: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 400
Generation 25: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 416
Generation 26: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 432
Generation 27: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 448
Generation 28: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 464
Generation 29: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 480
Generation 30: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 496
Generation 31: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 512
Generation 32: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 528
Generation 33: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 544
Generation 34: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 560
Generation 35: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 576
Generation 36: Best Solution = [ 0.02656687 -0.94937905], Best Fitness = 1.5425860010358292, Evaluations = 592
Generation 37: Best Solution = [ 0.03222076 -0.06196454], Best Fitness = 0.9574888120973526, Evaluations = 608
Generation 38: Best Solution = [ 0.03222076 -0.06196454], Best Fitness = 0.9574888120973526, Evaluations = 624
Generation 39: Best Solution = [ 0.03222076 -0.06196454], Best Fitness = 0.9574888120973526, Evaluations = 640
Generation 40: Best Solution = [ 0.03222076 -0.06196454], Best Fitness = 0.9574888120973526, Evaluations = 656
Generation 41: Best Solution = [ 0.03222076 -0.06196454], Best Fitness = 0.9574888120973526, Evaluations = 672
Generation 42: Best Solution = [ 0.03222076 -0.06196454], Best Fitness = 0.9574888120973526, Evaluations = 688
Generation 43: Best Solution = [-0.01280374  0.05177154], Best Fitness = 0.5596060362038884, Evaluations = 704
Generation 44: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 720
Generation 45: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 736
Generation 46: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 752
Generation 47: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 768
Generation 48: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 784
Generation 49: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 800
Generation 50: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 816
Generation 51: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 832
Generation 52: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 848
Generation 53: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 864
Generation 54: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 880
Generation 55: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.050701184866806415, Evaluations = 896
Generation 56: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.0006187350582216311, Evaluations = 912
Generation 57: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.0006187350582216311, Evaluations = 928
Generation 58: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.0006187350582216311, Evaluations = 944
Generation 59: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.0006187350582216311, Evaluations = 960
Generation 60: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.0006187350582216311, Evaluations = 976
Generation 61: Best Solution = [0.00123384 0.01594521], Best Fitness = 0.0006187350582216311, Evaluations = 992
Generation 62: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 0.0005762732724718944, Evaluations = 1008
Generation 63: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 8.019618526589056e-06, Evaluations = 1024
Generation 64: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 8.019618526589056e-06, Evaluations = 1040
Generation 65: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 8.019618526589056e-06, Evaluations = 1056
Generation 66: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 8.019618526589056e-06, Evaluations = 1072
Generation 67: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 8.019618526589056e-06, Evaluations = 1088
Generation 68: Best Solution = [-1.70432461e-03 -4.92617456e-06], Best Fitness = 8.019618526589056e-06, Evaluations = 1104
Generation 69: Best Solution = [-6.19713909e-05  1.17486346e-04], Best Fitness = 3.5003296332547507e-06, Evaluations = 1120
Generation 70: Best Solution = [-6.19713909e-05  1.17486346e-04], Best Fitness = 3.5003296332547507e-06, Evaluations = 1136
Generation 71: Best Solution = [-6.19713909e-05  1.17486346e-04], Best Fitness = 3.5003296332547507e-06, Evaluations = 1152
Generation 72: Best Solution = [ 2.14636884e-05 -8.53047844e-05], Best Fitness = 1.5350778248546249e-06, Evaluations = 1168
