Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.07731302 -1.00164769], Best Fitness = 2.1666635771580047, Evaluations = 128
Generation 1: Best Solution = [-0.03619074 -0.96675961], Best Fitness = 1.4106714456667575, Evaluations = 256
Generation 2: Best Solution = [-0.03619074 -0.96675961], Best Fitness = 1.4106714456667575, Evaluations = 384
Generation 3: Best Solution = [-0.03619074 -0.96675961], Best Fitness = 1.4106714456667575, Evaluations = 512
Generation 4: Best Solution = [-0.03619074 -0.96675961], Best Fitness = 1.4106714456667575, Evaluations = 640
Generation 5: Best Solution = [-0.03619074 -0.96675961], Best Fitness = 1.4106714456667575, Evaluations = 768
Generation 6: Best Solution = [-0.03619074 -0.96675961], Best Fitness = 1.4106714456667575, Evaluations = 896
Generation 7: Best Solution = [-0.0676465  -0.04714418], Best Fitness = 1.3320774447905492, Evaluations = 1024
Generation 8: Best Solution = [-0.0676465  -0.04714418], Best Fitness = 1.3320774447905492, Evaluations = 1152
Generation 9: Best Solution = [-0.0676465  -0.04714418], Best Fitness = 1.3320774447905492, Evaluations = 1280
Generation 10: Best Solution = [-0.0676465  -0.04714418], Best Fitness = 1.3320774447905492, Evaluations = 1408
Generation 11: Best Solution = [ 0.00352058 -0.03484071], Best Fitness = 0.24232675365536238, Evaluations = 1536
Generation 12: Best Solution = [ 0.00352058 -0.03484071], Best Fitness = 0.24232675365536238, Evaluations = 1664
Generation 13: Best Solution = [ 0.00352058 -0.03484071], Best Fitness = 0.24232675365536238, Evaluations = 1792
Generation 14: Best Solution = [ 0.00352058 -0.03484071], Best Fitness = 0.24232675365536238, Evaluations = 1920
Generation 15: Best Solution = [ 0.00352058 -0.03484071], Best Fitness = 0.24232675365536238, Evaluations = 2048
