Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 32
Generation 1: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 64
Generation 2: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 96
Generation 3: Best Solution = [-1.95059932 -0.02447711], Best Fitness = 4.401332960808412, Evaluations = 128
Generation 4: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 160
Generation 5: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 192
Generation 6: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 224
Generation 7: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 256
Generation 8: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 288
Generation 9: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 320
Generation 10: Best Solution = [ 0.00631384 -0.03886543], Best Fitness = 0.30610458287523556, Evaluations = 352
Generation 11: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 384
Generation 12: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 416
Generation 13: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 448
Generation 14: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 480
Generation 15: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 512
Generation 16: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 544
Generation 17: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 576
Generation 18: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 608
Generation 19: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 640
Generation 20: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 672
Generation 21: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 704
Generation 22: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 736
Generation 23: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 768
Generation 24: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 800
Generation 25: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 832
Generation 26: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 864
Generation 27: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 896
Generation 28: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 928
Generation 29: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 960
Generation 30: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.22820937089296223, Evaluations = 992
Generation 31: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.14336537356646772, Evaluations = 1024
Generation 32: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.14336537356646772, Evaluations = 1056
Generation 33: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.14336537356646772, Evaluations = 1088
Generation 34: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.14336537356646772, Evaluations = 1120
Generation 35: Best Solution = [-0.02352321 -0.02447711], Best Fitness = 0.14336537356646772, Evaluations = 1152
Generation 36: Best Solution = [ 0.01061659 -0.00945064], Best Fitness = 0.04006704553593465, Evaluations = 1184
Generation 37: Best Solution = [ 0.01061659 -0.00945064], Best Fitness = 0.04006704553593465, Evaluations = 1216
Generation 38: Best Solution = [0.00104269 0.01327251], Best Fitness = 0.03514422281885743, Evaluations = 1248
Generation 39: Best Solution = [-0.00375267 -0.01221592], Best Fitness = 0.032385076633950405, Evaluations = 1280
Generation 40: Best Solution = [ 0.00104269 -0.00903019], Best Fitness = 0.01638911267720289, Evaluations = 1312
Generation 41: Best Solution = [ 0.00104269 -0.00903019], Best Fitness = 0.01638911267720289, Evaluations = 1344
Generation 42: Best Solution = [ 0.00290115 -0.00049714], Best Fitness = 0.0017187829715581415, Evaluations = 1376
Generation 43: Best Solution = [ 0.00290115 -0.00049714], Best Fitness = 0.0017187829715581415, Evaluations = 1408
Generation 44: Best Solution = [ 0.00290115 -0.00049714], Best Fitness = 0.0017187829715581415, Evaluations = 1440
